,gene,rep1,rep2,rep3,consist_num,Final_Cluster
288,B_Gene277,DTW-K1-001-DPGP010,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
289,B_Gene75,DTW-K1-001-DPGP003,DTW-K1-001-DPGP003,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP003
290,B_Gene500,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,2,DTW-K1-001-DPGP006
291,A_Gene232,DTW-K1-001-DPGP016,DTW-K1-001-DPGP011,DTW-K1-001-DPGP006,1,
292,A_Gene290,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,DTW-K1-001-DPGP010,1,
293,A_Gene450,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP009
294,A_Gene231,DTW-K1-001-DPGP004,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP004
295,A_Gene404,DTW-K1-001-DPGP016,DTW-K1-001-DPGP017,DTW-K1-001-DPGP001,1,
296,A_Gene288,DTW-K1-001-DPGP020,DTW-K1-001-DPGP001,DTW-K1-001-DPGP019,1,
297,B_Gene44,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
298,A_Gene42,DTW-K1-001-DPGP011,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
299,A_Gene20,DTW-K1-001-DPGP005,DTW-K1-001-DPGP008,DTW-K1-001-DPGP009,1,
300,B_Gene184,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
301,A_Gene207,DTW-K1-001-DPGP020,DTW-K1-001-DPGP008,DTW-K1-001-DPGP001,1,
302,A_Gene135,DTW-K1-001-DPGP006,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,1,
303,A_Gene299,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
304,A_Gene158,DTW-K1-001-DPGP004,DTW-K1-001-DPGP010,DTW-K1-001-DPGP006,1,
305,B_Gene185,DTW-K1-001-DPGP010,DTW-K1-001-DPGP007,DTW-K1-001-DPGP010,2,DTW-K1-001-DPGP010
306,B_Gene346,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
307,A_Gene393,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
308,B_Gene236,DTW-K1-001-DPGP011,DTW-K1-001-DPGP004,DTW-K1-001-DPGP013,1,
309,A_Gene266,DTW-K1-001-DPGP020,DTW-K1-001-DPGP018,DTW-K1-001-DPGP019,1,
310,B_Gene115,DTW-K1-001-DPGP013,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,1,
311,B_Gene377,DTW-K1-001-DPGP006,DTW-K1-001-DPGP019,DTW-K1-001-DPGP016,1,
312,A_Gene245,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
313,A_Gene185,DTW-K1-001-DPGP016,DTW-K1-001-DPGP018,DTW-K1-001-DPGP018,2,DTW-K1-001-DPGP018
314,A_Gene270,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
315,B_Gene344,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP020,2,DTW-K1-001-DPGP001
316,B_Gene235,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
317,A_Gene385,DTW-K1-001-DPGP002,DTW-K1-001-DPGP001,DTW-K1-001-DPGP019,1,
318,A_Gene198,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP006
319,A_Gene453,DTW-K1-001-DPGP019,DTW-K1-001-DPGP010,DTW-K1-001-DPGP007,1,
320,A_Gene351,DTW-K1-001-DPGP009,DTW-K1-001-DPGP011,DTW-K1-001-DPGP012,1,
321,A_Gene312,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
322,B_Gene154,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
323,A_Gene38,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP019,2,DTW-K1-001-DPGP006
324,B_Gene431,DTW-K1-001-DPGP008,DTW-K1-001-DPGP016,DTW-K1-001-DPGP004,1,
325,B_Gene481,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
326,A_Gene101,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
327,A_Gene333,DTW-K1-001-DPGP002,DTW-K1-001-DPGP014,DTW-K1-001-DPGP008,1,
328,B_Gene242,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,1,
