,gene,rep1,rep2,rep3,consist_num,Final_Cluster
0,A_Gene156,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
1,B_Gene38,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,1,
2,A_Gene105,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
3,A_Gene409,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
4,A_Gene359,DTW-K1-001-DPGP008,DTW-K1-001-DPGP014,DTW-K1-001-DPGP003,1,
5,B_Gene495,DTW-K1-001-DPGP011,DTW-K1-001-DPGP003,DTW-K1-001-DPGP001,1,
6,B_Gene409,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
7,B_Gene18,DTW-K1-001-DPGP007,DTW-K1-001-DPGP003,DTW-K1-001-DPGP001,1,
8,A_Gene333,DTW-K1-001-DPGP002,DTW-K1-001-DPGP014,DTW-K1-001-DPGP008,1,
9,B_Gene500,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,2,DTW-K1-001-DPGP006
10,B_Gene354,DTW-K1-001-DPGP015,DTW-K1-001-DPGP015,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP015
11,A_Gene268,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP010,1,
12,B_Gene260,DTW-K1-001-DPGP003,DTW-K1-001-DPGP016,DTW-K1-001-DPGP005,1,
13,A_Gene334,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
14,B_Gene411,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
15,B_Gene208,DTW-K1-001-DPGP013,DTW-K1-001-DPGP009,DTW-K1-001-DPGP007,1,
16,A_Gene245,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
17,B_Gene191,DTW-K1-001-DPGP015,DTW-K1-001-DPGP019,DTW-K1-001-DPGP019,2,DTW-K1-001-DPGP019
18,B_Gene471,DTW-K1-001-DPGP008,DTW-K1-001-DPGP010,DTW-K1-001-DPGP009,1,
19,B_Gene438,DTW-K1-001-DPGP019,DTW-K1-001-DPGP015,DTW-K1-001-DPGP004,1,
20,A_Gene450,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP009
21,B_Gene27,DTW-K1-001-DPGP007,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,1,
22,A_Gene437,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
23,B_Gene331,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
24,A_Gene261,DTW-K1-001-DPGP015,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP004
25,B_Gene451,DTW-K1-001-DPGP009,DTW-K1-001-DPGP007,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP009
26,A_Gene186,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
27,A_Gene397,DTW-K1-001-DPGP009,DTW-K1-001-DPGP013,DTW-K1-001-DPGP006,1,
28,B_Gene226,DTW-K1-001-DPGP002,DTW-K1-001-DPGP017,DTW-K1-001-DPGP003,1,
29,B_Gene293,DTW-K1-001-DPGP002,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,2,DTW-K1-001-DPGP016
30,A_Gene361,DTW-K1-001-DPGP016,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP016
31,A_Gene231,DTW-K1-001-DPGP004,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP004
32,A_Gene475,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
33,A_Gene163,DTW-K1-001-DPGP014,DTW-K1-001-DPGP015,DTW-K1-001-DPGP008,1,
34,A_Gene270,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
35,B_Gene426,DTW-K1-001-DPGP018,DTW-K1-001-DPGP011,DTW-K1-001-DPGP004,1,
36,B_Gene70,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,2,DTW-K1-001-DPGP006
37,B_Gene165,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
38,B_Gene410,DTW-K1-001-DPGP015,DTW-K1-001-DPGP006,DTW-K1-001-DPGP015,2,DTW-K1-001-DPGP015
39,A_Gene93,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
40,B_Gene77,DTW-K1-001-DPGP018,DTW-K1-001-DPGP005,DTW-K1-001-DPGP013,1,
41,A_Gene212,DTW-K1-001-DPGP012,DTW-K1-001-DPGP011,DTW-K1-001-DPGP014,1,
42,A_Gene90,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,DTW-K1-001-DPGP019,1,
43,B_Gene192,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
