,gene,rep1,rep2,rep3,consist_num,Final_Cluster
44,A_Gene351,DTW-K1-001-DPGP009,DTW-K1-001-DPGP011,DTW-K1-001-DPGP012,1,
45,B_Gene320,DTW-K1-001-DPGP007,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
46,B_Gene86,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,DTW-K1-001-DPGP008,1,
47,A_Gene338,DTW-K1-001-DPGP012,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,1,
48,A_Gene36,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,1,
49,A_Gene393,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
50,A_Gene190,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
51,A_Gene472,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
52,A_Gene479,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,DTW-K1-001-DPGP017,2,DTW-K1-001-DPGP004
53,A_Gene337,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
54,B_Gene401,DTW-K1-001-DPGP014,DTW-K1-001-DPGP009,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP014
55,B_Gene294,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
56,B_Gene3,DTW-K1-001-DPGP006,DTW-K1-001-DPGP007,DTW-K1-001-DPGP001,1,
57,B_Gene336,DTW-K1-001-DPGP013,DTW-K1-001-DPGP009,DTW-K1-001-DPGP018,1,
58,B_Gene346,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
59,A_Gene340,DTW-K1-001-DPGP016,DTW-K1-001-DPGP008,DTW-K1-001-DPGP014,1,
60,B_Gene262,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,1,
61,B_Gene78,DTW-K1-001-DPGP002,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,1,
62,A_Gene244,DTW-K1-001-DPGP009,DTW-K1-001-DPGP013,DTW-K1-001-DPGP018,1,
63,B_Gene20,DTW-K1-001-DPGP016,DTW-K1-001-DPGP009,DTW-K1-001-DPGP013,1,
64,B_Gene72,DTW-K1-001-DPGP011,DTW-K1-001-DPGP017,DTW-K1-001-DPGP018,1,
65,A_Gene276,DTW-K1-001-DPGP004,DTW-K1-001-DPGP018,DTW-K1-001-DPGP013,1,
66,A_Gene135,DTW-K1-001-DPGP006,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,1,
67,B_Gene420,DTW-K1-001-DPGP015,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,1,
68,B_Gene101,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
69,A_Gene401,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
70,A_Gene474,DTW-K1-001-DPGP014,DTW-K1-001-DPGP002,DTW-K1-001-DPGP004,1,
71,A_Gene58,DTW-K1-001-DPGP009,DTW-K1-001-DPGP008,DTW-K1-001-DPGP013,1,
72,B_Gene465,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,DTW-K1-001-DPGP014,1,
73,A_Gene357,DTW-K1-001-DPGP007,DTW-K1-001-DPGP008,DTW-K1-001-DPGP016,1,
74,A_Gene42,DTW-K1-001-DPGP011,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
75,A_Gene169,DTW-K1-001-DPGP001,DTW-K1-001-DPGP015,DTW-K1-001-DPGP004,1,
76,B_Gene490,DTW-K1-001-DPGP015,DTW-K1-001-DPGP018,DTW-K1-001-DPGP014,1,
77,A_Gene73,DTW-K1-001-DPGP010,DTW-K1-001-DPGP016,DTW-K1-001-DPGP007,1,
78,A_Gene120,DTW-K1-001-DPGP013,DTW-K1-001-DPGP001,DTW-K1-001-DPGP006,1,
79,B_Gene280,DTW-K1-001-DPGP018,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,1,
80,A_Gene207,DTW-K1-001-DPGP020,DTW-K1-001-DPGP008,DTW-K1-001-DPGP001,1,
81,A_Gene299,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
82,A_Gene305,DTW-K1-001-DPGP003,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP003
83,A_Gene154,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
84,B_Gene21,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,DTW-K1-001-DPGP001,1,
85,A_Gene366,DTW-K1-001-DPGP001,DTW-K1-001-DPGP007,DTW-K1-001-DPGP005,1,
86,A_Gene480,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
87,A_Gene121,DTW-K1-001-DPGP010,DTW-K1-001-DPGP015,DTW-K1-001-DPGP008,1,
88,A_Gene497,DTW-K1-001-DPGP016,DTW-K1-001-DPGP002,DTW-K1-001-DPGP019,1,
89,B_Gene131,DTW-K1-001-DPGP019,DTW-K1-001-DPGP007,DTW-K1-001-DPGP009,1,
90,B_Gene350,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP006
91,B_Gene79,DTW-K1-001-DPGP019,DTW-K1-001-DPGP002,DTW-K1-001-DPGP016,1,
92,B_Gene58,DTW-K1-001-DPGP010,DTW-K1-001-DPGP005,DTW-K1-001-DPGP009,1,
93,B_Gene270,DTW-K1-001-DPGP012,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
94,A_Gene70,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
95,A_Gene1,DTW-K1-001-DPGP006,DTW-K1-001-DPGP015,DTW-K1-001-DPGP001,1,
96,A_Gene325,DTW-K1-001-DPGP001,DTW-K1-001-DPGP017,DTW-K1-001-DPGP017,2,DTW-K1-001-DPGP017
97,A_Gene72,DTW-K1-001-DPGP001,DTW-K1-001-DPGP015,DTW-K1-001-DPGP019,1,
98,A_Gene96,DTW-K1-001-DPGP018,DTW-K1-001-DPGP001,DTW-K1-001-DPGP003,1,
99,B_Gene203,DTW-K1-001-DPGP016,DTW-K1-001-DPGP009,DTW-K1-001-DPGP013,1,
100,A_Gene164,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP006
101,A_Gene198,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP006
102,B_Gene463,DTW-K1-001-DPGP020,DTW-K1-001-DPGP014,DTW-K1-001-DPGP020,2,DTW-K1-001-DPGP020
103,A_Gene463,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
104,A_Gene177,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP006
105,A_Gene128,DTW-K1-001-DPGP014,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,2,DTW-K1-001-DPGP014
106,A_Gene404,DTW-K1-001-DPGP016,DTW-K1-001-DPGP017,DTW-K1-001-DPGP001,1,
107,A_Gene10,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP001
108,B_Gene1,DTW-K1-001-DPGP014,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,1,
109,B_Gene314,DTW-K1-001-DPGP020,DTW-K1-001-DPGP001,DTW-K1-001-DPGP014,1,
110,A_Gene34,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,DTW-K1-001-DPGP014,1,
111,B_Gene357,DTW-K1-001-DPGP006,DTW-K1-001-DPGP005,DTW-K1-001-DPGP015,1,
112,A_Gene242,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
113,A_Gene19,DTW-K1-001-DPGP006,DTW-K1-001-DPGP010,DTW-K1-001-DPGP005,1,
114,A_Gene403,DTW-K1-001-DPGP003,DTW-K1-001-DPGP014,DTW-K1-001-DPGP008,1,
115,A_Gene161,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP018,2,DTW-K1-001-DPGP001
116,B_Gene374,DTW-K1-001-DPGP010,DTW-K1-001-DPGP008,DTW-K1-001-DPGP010,2,DTW-K1-001-DPGP010
117,B_Gene248,DTW-K1-001-DPGP003,DTW-K1-001-DPGP013,DTW-K1-001-DPGP014,1,
118,A_Gene94,DTW-K1-001-DPGP015,DTW-K1-001-DPGP017,DTW-K1-001-DPGP004,1,
119,A_Gene418,DTW-K1-001-DPGP015,DTW-K1-001-DPGP015,DTW-K1-001-DPGP015,3,DTW-K1-001-DPGP015
120,B_Gene358,DTW-K1-001-DPGP011,DTW-K1-001-DPGP017,DTW-K1-001-DPGP001,1,
121,A_Gene171,DTW-K1-001-DPGP017,DTW-K1-001-DPGP005,DTW-K1-001-DPGP004,1,
122,B_Gene289,DTW-K1-001-DPGP001,DTW-K1-001-DPGP008,DTW-K1-001-DPGP019,1,
123,A_Gene271,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
124,A_Gene287,DTW-K1-001-DPGP005,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,1,
125,B_Gene213,DTW-K1-001-DPGP003,DTW-K1-001-DPGP017,DTW-K1-001-DPGP001,1,
126,B_Gene196,DTW-K1-001-DPGP001,DTW-K1-001-DPGP019,DTW-K1-001-DPGP004,1,
127,A_Gene328,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
128,A_Gene216,DTW-K1-001-DPGP014,DTW-K1-001-DPGP015,DTW-K1-001-DPGP019,1,
129,B_Gene93,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
130,A_Gene442,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,DTW-K1-001-DPGP017,1,
131,B_Gene305,DTW-K1-001-DPGP016,DTW-K1-001-DPGP007,DTW-K1-001-DPGP018,1,
132,A_Gene223,DTW-K1-001-DPGP007,DTW-K1-001-DPGP014,DTW-K1-001-DPGP003,1,
133,B_Gene139,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,DTW-K1-001-DPGP010,1,
134,B_Gene378,DTW-K1-001-DPGP010,DTW-K1-001-DPGP013,DTW-K1-001-DPGP011,1,
135,A_Gene251,DTW-K1-001-DPGP009,DTW-K1-001-DPGP010,DTW-K1-001-DPGP006,1,
136,B_Gene207,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,DTW-K1-001-DPGP013,1,
137,A_Gene31,DTW-K1-001-DPGP001,DTW-K1-001-DPGP006,DTW-K1-001-DPGP004,1,
138,A_Gene311,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP004
139,B_Gene7,DTW-K1-001-DPGP018,DTW-K1-001-DPGP005,DTW-K1-001-DPGP013,1,
140,B_Gene359,DTW-K1-001-DPGP012,DTW-K1-001-DPGP012,DTW-K1-001-DPGP017,2,DTW-K1-001-DPGP012
141,B_Gene284,DTW-K1-001-DPGP006,DTW-K1-001-DPGP005,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
142,B_Gene119,DTW-K1-001-DPGP017,DTW-K1-001-DPGP001,DTW-K1-001-DPGP015,1,
143,B_Gene393,DTW-K1-001-DPGP018,DTW-K1-001-DPGP015,DTW-K1-001-DPGP009,1,
144,A_Gene313,DTW-K1-001-DPGP003,DTW-K1-001-DPGP005,DTW-K1-001-DPGP006,1,
145,B_Gene242,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,1,
146,B_Gene229,DTW-K1-001-DPGP005,DTW-K1-001-DPGP013,DTW-K1-001-DPGP013,2,DTW-K1-001-DPGP013
147,A_Gene83,DTW-K1-001-DPGP010,DTW-K1-001-DPGP002,DTW-K1-001-DPGP011,1,
148,A_Gene196,DTW-K1-001-DPGP016,DTW-K1-001-DPGP002,DTW-K1-001-DPGP017,1,
149,A_Gene117,DTW-K1-001-DPGP001,DTW-K1-001-DPGP020,DTW-K1-001-DPGP015,1,
150,A_Gene344,DTW-K1-001-DPGP001,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,1,
151,B_Gene232,DTW-K1-001-DPGP016,DTW-K1-001-DPGP007,DTW-K1-001-DPGP019,1,
152,A_Gene3,DTW-K1-001-DPGP011,DTW-K1-001-DPGP008,DTW-K1-001-DPGP004,1,
153,B_Gene265,DTW-K1-001-DPGP002,DTW-K1-001-DPGP009,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP009
154,B_Gene400,DTW-K1-001-DPGP009,DTW-K1-001-DPGP009,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP009
155,B_Gene403,DTW-K1-001-DPGP006,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,1,
156,A_Gene215,DTW-K1-001-DPGP019,DTW-K1-001-DPGP010,DTW-K1-001-DPGP006,1,
157,A_Gene394,DTW-K1-001-DPGP001,DTW-K1-001-DPGP002,DTW-K1-001-DPGP019,1,
158,B_Gene243,DTW-K1-001-DPGP001,DTW-K1-001-DPGP017,DTW-K1-001-DPGP010,1,
159,B_Gene236,DTW-K1-001-DPGP011,DTW-K1-001-DPGP004,DTW-K1-001-DPGP013,1,
160,B_Gene286,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
161,B_Gene223,DTW-K1-001-DPGP008,DTW-K1-001-DPGP016,DTW-K1-001-DPGP014,1,
162,A_Gene228,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
163,B_Gene183,DTW-K1-001-DPGP007,DTW-K1-001-DPGP003,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP003
164,B_Gene261,DTW-K1-001-DPGP001,DTW-K1-001-DPGP017,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
165,A_Gene20,DTW-K1-001-DPGP005,DTW-K1-001-DPGP008,DTW-K1-001-DPGP009,1,
166,B_Gene416,DTW-K1-001-DPGP002,DTW-K1-001-DPGP001,DTW-K1-001-DPGP017,1,
167,A_Gene266,DTW-K1-001-DPGP020,DTW-K1-001-DPGP018,DTW-K1-001-DPGP019,1,
168,A_Gene471,DTW-K1-001-DPGP006,DTW-K1-001-DPGP007,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
169,A_Gene486,DTW-K1-001-DPGP008,DTW-K1-001-DPGP008,DTW-K1-001-DPGP008,3,DTW-K1-001-DPGP008
170,B_Gene313,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP006
171,B_Gene231,DTW-K1-001-DPGP015,DTW-K1-001-DPGP018,DTW-K1-001-DPGP004,1,
172,B_Gene333,DTW-K1-001-DPGP011,DTW-K1-001-DPGP007,DTW-K1-001-DPGP012,1,
173,B_Gene480,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
174,B_Gene44,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
175,A_Gene165,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
176,A_Gene145,DTW-K1-001-DPGP002,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,1,
177,A_Gene213,DTW-K1-001-DPGP006,DTW-K1-001-DPGP019,DTW-K1-001-DPGP016,1,
178,A_Gene126,DTW-K1-001-DPGP006,DTW-K1-001-DPGP005,DTW-K1-001-DPGP003,1,
179,B_Gene288,DTW-K1-001-DPGP016,DTW-K1-001-DPGP015,DTW-K1-001-DPGP002,1,
180,A_Gene220,DTW-K1-001-DPGP004,DTW-K1-001-DPGP014,DTW-K1-001-DPGP004,2,DTW-K1-001-DPGP004
181,A_Gene416,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
182,B_Gene176,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,DTW-K1-001-DPGP011,1,
183,A_Gene184,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
184,A_Gene411,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,2,DTW-K1-001-DPGP006
185,A_Gene197,DTW-K1-001-DPGP011,DTW-K1-001-DPGP010,DTW-K1-001-DPGP019,1,
186,A_Gene252,DTW-K1-001-DPGP014,DTW-K1-001-DPGP019,DTW-K1-001-DPGP007,1,
187,B_Gene498,DTW-K1-001-DPGP010,DTW-K1-001-DPGP011,DTW-K1-001-DPGP001,1,
188,B_Gene197,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,DTW-K1-001-DPGP014,1,
189,A_Gene332,DTW-K1-001-DPGP003,DTW-K1-001-DPGP008,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP003
190,A_Gene214,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
191,B_Gene142,DTW-K1-001-DPGP009,DTW-K1-001-DPGP009,DTW-K1-001-DPGP005,2,DTW-K1-001-DPGP009
192,A_Gene131,DTW-K1-001-DPGP009,DTW-K1-001-DPGP016,DTW-K1-001-DPGP008,1,
193,B_Gene281,DTW-K1-001-DPGP006,DTW-K1-001-DPGP012,DTW-K1-001-DPGP006,2,DTW-K1-001-DPGP006
194,A_Gene440,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
195,B_Gene96,DTW-K1-001-DPGP016,DTW-K1-001-DPGP006,DTW-K1-001-DPGP001,1,
196,B_Gene299,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
197,A_Gene320,DTW-K1-001-DPGP001,DTW-K1-001-DPGP011,DTW-K1-001-DPGP016,1,
198,A_Gene346,DTW-K1-001-DPGP006,DTW-K1-001-DPGP003,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP003
199,A_Gene456,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
200,A_Gene426,DTW-K1-001-DPGP011,DTW-K1-001-DPGP011,DTW-K1-001-DPGP002,2,DTW-K1-001-DPGP011
201,A_Gene490,DTW-K1-001-DPGP004,DTW-K1-001-DPGP001,DTW-K1-001-DPGP002,1,
202,B_Gene337,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
203,A_Gene229,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,DTW-K1-001-DPGP005,1,
204,B_Gene90,DTW-K1-001-DPGP014,DTW-K1-001-DPGP007,DTW-K1-001-DPGP004,1,
205,A_Gene173,DTW-K1-001-DPGP009,DTW-K1-001-DPGP006,DTW-K1-001-DPGP013,1,
206,B_Gene297,DTW-K1-001-DPGP006,DTW-K1-001-DPGP009,DTW-K1-001-DPGP007,1,
207,B_Gene351,DTW-K1-001-DPGP001,DTW-K1-001-DPGP011,DTW-K1-001-DPGP008,1,
208,A_Gene129,DTW-K1-001-DPGP014,DTW-K1-001-DPGP014,DTW-K1-001-DPGP003,2,DTW-K1-001-DPGP014
209,B_Gene177,DTW-K1-001-DPGP002,DTW-K1-001-DPGP001,DTW-K1-001-DPGP010,1,
210,B_Gene285,DTW-K1-001-DPGP014,DTW-K1-001-DPGP010,DTW-K1-001-DPGP009,1,
211,B_Gene394,DTW-K1-001-DPGP019,DTW-K1-001-DPGP019,DTW-K1-001-DPGP019,3,DTW-K1-001-DPGP019
212,B_Gene235,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,3,DTW-K1-001-DPGP006
213,A_Gene396,DTW-K1-001-DPGP002,DTW-K1-001-DPGP009,DTW-K1-001-DPGP015,1,
214,B_Gene135,DTW-K1-001-DPGP003,DTW-K1-001-DPGP006,DTW-K1-001-DPGP016,1,
215,B_Gene479,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,DTW-K1-001-DPGP004,3,DTW-K1-001-DPGP004
216,A_Gene149,DTW-K1-001-DPGP001,DTW-K1-001-DPGP004,DTW-K1-001-DPGP001,2,DTW-K1-001-DPGP001
217,A_Gene428,DTW-K1-001-DPGP006,DTW-K1-001-DPGP014,DTW-K1-001-DPGP007,1,
218,B_Gene453,DTW-K1-001-DPGP009,DTW-K1-001-DPGP015,DTW-K1-001-DPGP008,1,
219,A_Gene247,DTW-K1-001-DPGP003,DTW-K1-001-DPGP011,DTW-K1-001-DPGP013,1,
220,B_Gene352,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,3,DTW-K1-001-DPGP001
